top,Precision_Average,se,Num_Queries_Contributing
1,0.7,Bing,50
2,0.68,Bing,50
3,0.6800000000000002,Bing,50
4,0.665,Bing,50
5,0.6559999999999999,Bing,50
6,0.6466666666666666,Bing,50
7,0.6285714285714286,Bing,50
8,0.62,Bing,50
9,0.6044444444444446,Bing,50
10,0.6000000000000001,Bing,50
11,0.5946969696969698,Bing,48
12,0.6006944444444443,Bing,48
13,0.6009615384615385,Bing,48
14,0.6011904761904762,Bing,48
15,0.6000000000000002,Bing,48
16,0.5950520833333334,Bing,48
17,0.5943627450980393,Bing,48
18,0.5844907407407408,Bing,48
19,0.5767543859649124,Bing,48
20,0.5708333333333332,Bing,48
