top,Precision_Average,se,Num_Queries_Contributing
1,0.64,Duckduckgo,50
2,0.65,Duckduckgo,50
3,0.6533333333333334,Duckduckgo,50
4,0.65,Duckduckgo,50
5,0.6480000000000001,Duckduckgo,50
6,0.6299999999999999,Duckduckgo,50
7,0.6114285714285714,Duckduckgo,50
8,0.6025,Duckduckgo,50
9,0.577777777777778,Duckduckgo,50
10,0.574,Duckduckgo,50
11,0.5654545454545454,Duckduckgo,50
12,0.5683333333333335,Duckduckgo,50
13,0.563076923076923,Duckduckgo,50
14,0.562857142857143,Duckduckgo,50
15,0.56,Duckduckgo,50
16,0.55875,Duckduckgo,50
17,0.5576470588235295,Duckduckgo,50
18,0.5566666666666666,Duckduckgo,50
19,0.5589473684210524,Duckduckgo,50
20,0.5640000000000001,Duckduckgo,50
