top,Precision_Average,se,Num_Queries_Contributing
1,0.66,Google,50
2,0.7,Google,50
3,0.6533333333333334,Google,50
4,0.64,Google,50
5,0.6240000000000001,Google,50
6,0.6233333333333332,Google,50
7,0.622857142857143,Google,50
8,0.6275,Google,50
9,0.6200000000000001,Google,50
10,0.6259999999999999,Google,50
11,0.6272727272727272,Google,50
12,0.6283333333333332,Google,50
13,0.6276923076923078,Google,50
14,0.6328571428571427,Google,50
15,0.6306666666666668,Google,50
16,0.63,Google,50
17,0.6294117647058824,Google,50
18,0.6255555555555554,Google,50
19,0.6221052631578946,Google,50
20,0.613265306122449,Google,49
