top,Precision_Average,se,Num_Queries_Contributing
1,0.4897959183673469,Yahoo,49
2,0.5612244897959183,Yahoo,49
3,0.5510204081632653,Yahoo,49
4,0.5255102040816326,Yahoo,49
5,0.5510204081632654,Yahoo,49
6,0.5510204081632653,Yahoo,49
7,0.5393586005830904,Yahoo,49
8,0.5280612244897959,Yahoo,49
9,0.5215419501133787,Yahoo,49
10,0.5204081632653061,Yahoo,49
11,0.5213358070500927,Yahoo,49
12,0.5170068027210885,Yahoo,49
13,0.5070643642072215,Yahoo,49
14,0.49851190476190466,Yahoo,48
15,0.4944444444444445,Yahoo,48
16,0.49609375,Yahoo,48
17,0.5006257822277849,Yahoo,47
18,0.4962121212121211,Yahoo,44
19,0.4828947368421052,Yahoo,40
20,0.495945945945946,Yahoo,37
